Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y,(((drivers.opticalFlow).processedMessage).payload).optical_flow_quality,(computedVelocity).x,(computedVelocity).y
45,0.449998,0.00409229239,-0.00291015184,68,0,-40,-0.0109356055,0.0106083974,67,-0.0551999994,0.0137999998
46,0.460001,-0.0318207331,0.0473680831,68,0,-40,-0.0109356055,0.0103363954,67,0,-0.0272000022
47,0.469974,-0.000696110772,0.00187825155,70,-40,0,-0.0109356055,0.0100643933,72,0,-0.0272000022
48,0.479949,0.00648649409,0.0569448918,70,-40,0,-0.0112156076,0.0100643933,72,-0.027999999,0
49,0.490001,0.030428512,-0.00769855548,69,20,0,-0.0114956098,0.0100643933,72,-0.027999999,0
50,0.499991,-0.0054845144,-0.0148811601,69,20,0,-0.011357611,0.0100643933,72,0.0137999998,0
51,0.509974,-0.0366091356,-0.0196695644,68,0,0,-0.0112196123,0.0100643933,71,0.0137999998,0
52,0.520000,0.0280343089,0.00427245302,68,0,0,-0.0112196123,0.0100643933,71,0,0
53,0.529995,-0.017455522,0.00427245302,68,60,0,-0.0112196123,0.0100643933,71,0,0
54,0.539995,0.0160633009,0.00906085689,68,60,0,-0.0108116139,0.0100643933,71,0.0408000052,0
55,0.549995,-0.0150613207,-0.0268521681,69,60,-60,-0.0104036154,0.0100643933,71,0.0408000052,0
56,0.559998,-0.0198497251,-0.00530435378,69,60,-60,-0.0099896146,0.00965039246,71,0.0414000005,-0.0414000005
57,0.569972,0.0328227133,-0.0340347737,68,-20,0,-0.00957561377,0.00923639163,70,0.0414000005,-0.0414000005
58,0.580001,0.00888069626,0.00906085689,68,-20,0,-0.00971161481,0.00923639163,70,-0.0136000011,0
59,0.589993,0.0112748975,0.0449738838,70,0,0,-0.00984761585,0.00923639163,70,-0.0136000011,0
60,0.599977,-0.0126671195,-0.0148811601,70,0,0,-0.00984761585,0.00923639163,70,0,0
61,0.609996,0.0112748975,0.0210318659,70,40,0,-0.00984761585,0.00923639163,75,0,0
62,0.619981,-0.0198497251,0.0521564856,68,40,0,-0.00957561377,0.00923639163,75,0.0272000022,0
63,0.629990,-0.0222439263,-0.0196695644,68,40,0,-0.0093036117,0.00923639163,73,0.0272000022,0
64,0.639972,-0.0198497251,0.033002872,68,20,0,-0.00916761067,0.00923639163,73,0.0136000011,0
65,0.649977,-0.0054845144,-0.00769855548,68,20,0,-0.00903160963,0.00923639163,72,0.0136000011,0
66,0.659973,0.0184575021,0.033002872,67,0,-20,-0.00903160963,0.00910239294,72,0,-0.0134000005
67,0.669979,0.00409229239,-0.0555825904,67,0,-20,-0.00903160963,0.00896839425,72,0,-0.0134000005
68,0.679971,-0.000696110772,0.00187825155,69,20,0,-0.00889361091,0.00896839425,67,0.0137999998,0
69,0.689991,0.0112748975,0.00666665472,69,20,0,-0.00875561219,0.00896839425,67,0.0137999998,0
70,0.699974,0.0112748975,0.0521564856,68,100,-20,-0.00807561167,0.00883239321,67,0.0680000037,-0.0136000011
71,0.709978,-0.0509743467,-0.00769855548,68,100,-20,-0.00739561114,0.00869639218,67,0.0680000037,-0.0136000011
72,0.719954,0.0184575021,0.00906085689,68,40,40,-0.0071236114,0.00896839425,68,0.0272000022,0.0272000022
73,0.729993,0.00169809093,-0.0268521681,68,40,40,-0.00685161166,0.00924039632,68,0.0272000022,0.0272000022
74,0.739997,-0.00309031247,0.0138492603,66,120,60,-0.00605961261,0.00963639468,67,0.0791999996,0.0395999998
75,0.749970,-0.0126671195,0.00666665472,66,120,60,-0.00526761357,0.010032393,67,0.0791999996,0.0395999998
76,0.759995,0.0184575021,0.0234260671,68,120,-100,-0.00445161434,0.00935239252,67,0.0816000104,-0.0680000037
77,0.769976,0.0160633009,0.0401854776,68,120,-100,-0.00363561464,0.008672392,67,0.0816000104,-0.0680000037
78,0.779980,-0.0461859442,0.0258202683,69,220,-100,-0.00211761473,0.00798239373,63,0.151799992,-0.0689999983
79,0.789998,-0.0222439263,-0.000515950145,69,220,-100,-0.00059961481,0.00729239359,63,0.151799992,-0.0689999983
80,0.800001,0.030428512,-0.00291015184,69,40,0,-0.000323614746,0.00729239359,69,0.0275999997,0
81,0.809981,-0.017455522,0.033002872,69,40,0,-4.76147288e-05,0.00729239359,69,0.0275999997,0
82,0.819999,0.0471879244,0.0162434615,68,0,0,-4.76147288e-05,0.00729239359,69,0,0
83,0.829981,0.0112748975,-0.0148811601,68,0,0,-4.76147288e-05,0.00729239359,69,0,0
84,0.839973,-0.0126671195,0.0186376628,69,140,60,0.000918385282,0.00770639442,72,0.0965999961,0.0414000005
85,0.849977,-0.0054845144,0.0186376628,69,140,60,0.00188438513,0.00812039524,72,0.0965999961,0.0414000005
86,0.859980,-0.0246381275,0.00187825155,68,20,0,0.00202038512,0.00812039524,72,0.0136000011,0
87,0.869945,0.0160633009,-0.0100927567,68,20,0,0.00212918501,0.00812039524,72,0.0136000011,0
88,0.879998,-0.017455522,0.0210318659,69,-80,-20,0.001714785,0.00800999627,72,-0.0551999994,-0.0137999998
89,0.889975,-0.0270323288,0.0258202683,69,-80,-20,0.00116278487,0.00787199754,72,-0.0551999994,-0.0137999998
90,0.900001,0.0256401077,0.0353970751,69,0,20,0.00105238485,0.00795479678,72,0,0.0137999998
91,0.909997,0.0376111157,0.0282144696,69,0,20,0.00105238485,0.0080927955,72,0,0.0137999998
92,0.920001,-0.00309031247,0.0186376628,70,60,-20,0.00138838508,0.00800839439,72,0.0419999994,-0.0139999995
93,0.929976,-0.0054845144,-0.0100927567,70,60,-20,0.00180838536,0.00786839332,72,0.0419999994,-0.0139999995
94,0.940001,-0.0150613207,-0.00769855548,70,-60,-20,0.00155638519,0.00772839226,72,-0.0419999994,-0.0139999995
95,0.949973,0.00648649409,0.0114550581,70,-60,-20,0.0011363849,0.00758839119,72,-0.0419999994,-0.0139999995
96,0.959976,0.00409229239,0.0162434615,70,-80,-20,0.000604384928,0.00744839013,72,-0.055999998,-0.0139999995
97,0.969973,-0.0342149362,0.0306086726,70,-80,-20,4.43849349e-05,0.00730838906,72,-0.055999998,-0.0139999995
98,0.979994,0.0495821238,-0.00530435378,69,-40,-20,-0.00028841506,0.00716998801,77,-0.0275999997,-0.0137999998
99,0.989970,-0.0342149362,0.00427245302,69,-40,-20,-0.000564415124,0.00703198696,77,-0.0275999997,-0.0137999998
100,0.999972,-0.000696110772,-0.000515950145,69,40,-40,-0.000398815086,0.00678358693,75,0.0275999997,-0.0275999997
101,1.009947,0.0423995182,-0.0316405706,69,40,-40,-0.000122815065,0.00650758715,75,0.0275999997,-0.0275999997
102,1.019979,-0.0150613207,0.00187825155,69,20,-60,4.27849482e-05,0.00612118654,69,0.0137999998,-0.0414000005
103,1.030000,0.00648649409,0.0306086726,69,20,-60,0.000180784962,0.00570718572,69,0.0137999998,-0.0414000005
104,1.039991,-0.0222439263,-0.0340347737,68,-80,60,-0.000226815086,0.00595078617,70,-0.0544000044,0.0408000052
105,1.049999,-0.0126671195,0.0162434615,68,-80,60,-0.000770815182,0.00635878695,70,-0.0544000044,0.0408000052
106,1.059976,0.00648649409,0.0306086726,68,-80,60,-0.00131481525,0.00676678773,64,-0.0544000044,0.0408000052
107,1.069977,0.0256401077,-0.0244579669,68,-80,60,-0.00185881532,0.00717478851,64,-0.0544000044,0.0408000052
108,1.079981,-0.000696110772,0.0186376628,69,-40,0,-0.00218841527,0.00725638866,68,-0.0275999997,0
109,1.089974,0.0328227133,0.0258202683,69,-40,0,-0.00246441504,0.00725638866,68,-0.0275999997,0
110,1.099990,-0.0126671195,0.0186376628,69,0,0,-0.00251961499,0.00725638866,63,0,0
111,1.109996,0.00169809093,-0.00291015184,69,0,0,-0.00251961499,0.00725638866,63,0,0
112,1.119998,-0.0150613207,0.0138492603,69,-80,40,-0.00296121463,0.00747718848,63,-0.0551999994,0.0275999997
113,1.129974,0.0136690997,0.0210318659,69,-80,40,-0.00351321418,0.00775318826,63,-0.0551999994,0.0275999997
114,1.139979,-0.0150613207,-0.0100927567,69,-100,60,-0.00417561457,0.00813958887,69,-0.0689999983,0.0414000005
115,1.149991,0.00409229239,-0.0124869589,69,-100,60,-0.00486561516,0.00855358969,69,-0.0689999983,0.0414000005
116,1.159971,-0.0078787161,0.00427245302,69,0,-40,-0.00500361528,0.00841558818,69,0,-0.0275999997
117,1.169975,-0.0557627492,0.0186376628,69,0,-40,-0.00500361528,0.00813958608,69,0,-0.0275999997
118,1.180001,0.0136690997,0.033002872,69,60,0,-0.00467241462,0.00808438566,68,0.0414000005,0
119,1.190000,0.00409229239,0.0114550581,69,60,0,-0.0042584138,0.00808438566,68,0.0414000005,0
120,1.199992,0.0328227133,0.0162434615,68,-20,20,-0.00428441446,0.00819318648,68,-0.0136000011,0.0136000011
121,1.209979,-0.0461859442,0.0186376628,68,-20,20,-0.0044204155,0.00832918752,68,-0.0136000011,0.0136000011
122,1.220138,-0.000696110772,-0.00530435378,69,0,20,-0.00444761571,0.0084667867,68,0,0.0137999998
123,1.229979,-0.00309031247,0.0377912782,69,0,20,-0.00444761571,0.00860478543,68,0,0.0137999998
124,1.240081,-0.0533685498,0.0162434615,66,40,0,-0.00423641596,0.00863238517,67,0.026399998,0
125,1.249946,0.00648649409,0.0545506887,66,40,0,-0.00397241628,0.00863238517,67,0.026399998,0
126,1.260000,-0.0054845144,0.0210318659,68,80,-60,-0.00348441582,0.00830598641,67,0.0544000044,-0.0408000052
127,1.269992,-0.0294265319,0.0425796807,68,80,-60,-0.00294041517,0.00789798796,67,0.0544000044,-0.0408000052
128,1.279995,-0.0246381275,0.00427245302,67,100,-40,-0.00229561469,0.0076019885,68,0.0670000017,-0.026800001
129,1.289998,-0.000696110772,-0.0220637657,67,100,-40,-0.00162561459,0.00733398879,68,0.0670000017,-0.026800001
130,1.299980,-0.0246381275,0.0162434615,68,40,-140,-0.00127401436,0.00651878864,69,0.0272000022,-0.0952000022
131,1.309971,0.0256401077,0.0425796807,68,40,-140,-0.00100201403,0.00556678837,69,0.0272000022,-0.0952000022
132,1.319978,-0.00309031247,-0.000515950145,67,-40,-20,-0.0011620142,0.0052691875,74,-0.026800001,-0.0134000005
133,1.329995,0.0160633009,-0.0148811601,67,-40,-20,-0.0014300145,0.00513518648,74,-0.026800001,-0.0134000005
134,1.339992,0.0280343089,0.0282144696,68,0,-20,-0.00148361456,0.00499958545,72,0,-0.0136000011
135,1.349996,-0.0126671195,0.00427245302,68,0,-20,-0.00148361456,0.00486358441,72,0,-0.0136000011
136,1.359998,0.030428512,-0.0388231762,68,0,0,-0.00148361456,0.00483638421,72,0,0
137,1.369990,-0.0246381275,-0.0340347737,68,0,0,-0.00148361456,0.00483638421,72,0,0
138,1.379994,0.0256401077,-0.00530435378,68,0,0,-0.00148361456,0.00483638421,71,0,0
139,1.389978,0.00648649409,0.0473680831,68,0,0,-0.00148361456,0.00483638421,71,0,0
140,1.400001,-0.0126671195,0.0377912782,67,0,0,-0.00148361456,0.00483638421,71,0,0
141,1.409979,-0.0150613207,0.0138492603,67,0,0,-0.00148361456,0.00483638421,71,0,0
142,1.419981,-0.0102729173,-0.0388231762,68,0,20,-0.00148361456,0.00494518504,71,0,0.0136000011
143,1.429970,0.00648649409,0.0210318659,68,0,20,-0.00148361456,0.00508118607,71,0,0.0136000011
144,1.439979,0.0136690997,-0.0316405706,67,0,-20,-0.00148361456,0.00500118546,67,0,-0.0134000005
145,1.450001,-0.0150613207,0.0138492603,67,0,-20,-0.00148361456,0.00486718444,67,0,-0.0134000005
146,1.459973,0.0328227133,-0.0172753613,68,0,0,-0.00148361456,0.00484038424,68,0,0
