Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y
64,0.640017,-0.0140697705,0.0374868959,73,-160,60,-0.102336392,0.394131303
65,0.649993,-0.0140697705,-0.0127913393,72,0,-20,-0.103270784,0.39445287
66,0.660019,-0.00449296413,-0.0415217616,72,0,-20,-0.103270784,0.394308925
67,0.670015,0.0242374558,0.0255158879,72,260,-220,-0.102896385,0.39387697
68,0.680019,0.0266316589,0.0111506777,72,260,-220,-0.101024389,0.392292976
69,0.690017,-0.0332233831,0.0183332823,74,0,0,-0.0995267928,0.391025782
70,0.700016,0.0386026651,0.0207274836,74,0,0,-0.0995267928,0.391025782
71,0.709997,-0.00449296413,-0.00321453251,74,0,0,-0.0995267928,0.391025782
72,0.719993,-0.0116755692,0.0350926928,72,-20,40,-0.0996707752,0.391313821
73,0.729992,0.0242374558,-0.0247623473,72,-20,40,-0.0998147577,0.391601861
74,0.740090,-0.00928136706,-0.0151855415,73,-160,120,-0.100982748,0.3924779
75,0.749989,-0.0212523751,-0.0151855415,73,-160,120,-0.102150738,0.393353939
76,0.759990,-0.0188581739,0.0111506777,73,-140,80,-0.103172734,0.393937916
77,0.769999,-0.0428001918,-0.046310164,73,-140,80,-0.104194731,0.394521892
78,0.779997,-0.00688716583,0.0231216867,74,0,0,-0.104194731,0.394521892
79,0.790017,0.00747804437,0.039881099,74,0,0,-0.104194731,0.394521892
80,0.800012,0.0170548521,0.00875647552,72,0,0,-0.104194731,0.394521892
81,0.810017,-0.00209876243,0.0111506777,72,0,0,-0.104194731,0.394521892
82,0.819989,0.00268964097,0.0135448789,73,80,-60,-0.103610717,0.394083947
83,0.830018,-0.00209876243,0.0303042904,73,80,-60,-0.103026703,0.393646002
84,0.839992,0.0577562787,-0.00082033081,70,40,40,-0.10274671,0.393925995
85,0.849996,0.0338142626,-0.0199739449,70,40,40,-0.102466717,0.394205987
86,0.860014,0.0122664478,-0.0247623473,74,0,0,-0.102466717,0.394205987
87,0.869995,-0.00688716583,0.0159390811,74,0,0,-0.102466717,0.394205987
88,0.880000,-0.00688716583,-0.0175797436,73,100,-20,-0.101736709,0.394059956
89,0.890018,-0.0356175862,-0.0319449529,73,100,-20,-0.101006702,0.393913925
90,0.899996,-0.00928136706,-0.00082033081,74,60,0,-0.100562684,0.393913925
91,0.909995,0.000295439298,0.00636227429,74,60,0,-0.100118667,0.393913925
